tconst	ordering	nconst	category	job	characters
tt0119220	1	nm0104684	actor	\N	"[""Mikey""]"

tt0119220	2	nm0540176	actor	\N	"[""Chicken""]"

tt0119237	4	nm0721758	actor	\N	"[""Solomon""]"

tt0119237	5	nm0005101	director	\N	\N

tt0119242	3	nm0693799	actor	\N	"[""René""]"

tt0119247	3	nm0660854	actress	\N	"[""Alice Tomaso""]"

tt0119285	2	nm0006433	actress	\N	"[""Meena Nath""]"

tt0119292	1	nm0001794	actor	\N	"[""Kevin Conroy""]"

tt0119441	4	nm0094612	actor	\N	"[""Keao""]"

tt0119513	2	nm0950703	actress	\N	"[""Seven""]"

tt0119513	4	nm0504942	actress	\N	"[""Kent Hing""]"

tt0119545	2	nm0810101	actor	\N	"[""Brian Ferris""]"

tt0119545	3	nm0279896	actor	\N	"[""Mike Holliday""]"

tt0119547	1	nm0000202	actor	\N	"[""Jimmy West"",""Danny Knight""]"

tt0119588	2	nm0597734	actress	\N	"[""Sonia Lafont""]"

tt0119608	1	nm0143764	actor	\N	"[""Marek""]"

tt0119653	5	nm0165062	director	\N	\N

tt0119656	6	nm0401522	writer	written by	\N

tt0119678	1	nm0000815	actress	\N	"[""Thea""]"

tt0119699	3	nm0000677	actress	\N	"[""Kitty""]"

tt0119753	4	nm0757012	actress	\N	"[""Hanae Inamura (Kinu's daughter)""]"

tt0119773	3	nm0580720	actor	\N	"[""Loïc""]"

tt0119849	2	nm0719617	actress	\N	"[""Iris""]"

tt0119849	3	nm0271394	actress	\N	"[""Astrud""]"

tt0119849	4	nm0849180	actress	\N	"[""Marie""]"

tt0119870	2	nm0146749	actor	\N	"[""Zac""]"

tt0119910	1	nm0000132	actress	\N	"[""Hala""]"

tt0119953	4	nm0597744	actress	\N	"[""Diane Curtis""]"

tt0120002	4	nm0117550	actress	\N	"[""Tanja Bengtsdotter""]"

tt0120133	2	nm0933798	actress	\N	"[""Anabel""]"

tt0120171	4	nm0005079	actor	\N	"[""Young Barry""]"

tt0120227	3	nm0513394	actor	\N	"[""Marco detto 'Tratto'""]"

tt0120227	4	nm0515200	actress	\N	"[""Adele""]"

tt0120230	3	nm0491426	actress	\N	"[""Billy""]"

tt0120321	1	nm0063440	actor	\N	"[""Victor Joseph""]"

tt0120416	1	nm0655694	actress	\N	"[""Luisa""]"

tt0120416	3	nm0776580	actor	\N	"[""Sonny""]"

tt0120422	3	nm0418379	actress	\N	"[""Hazel Scott""]"

tt0120434	4	nm0256121	actor	\N	"[""Rusty Griswold""]"

tt0120533	3	nm0000138	actor	\N	"[""Brandon Darrow""]"

tt0120665	3	nm0171499	actor	\N	"[""Paul""]"

