tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0286290	movie	Wan quan jie hun shou ce	Wan quan jie hun shou ce	0	1997	\N	109	Comedy

tt8111964	movie	Me Next	Me Next	0	2018	\N	\N	Drama

tt3989290	movie	Exposed a Documentary on Exotic Dancers	Exposed a Documentary on Exotic Dancers	0	2006	\N	\N	Documentary

tt0432047	movie	Sarkar	Sarkar	0	2005	\N	124	Action,Crime,Drama

tt3697954	movie	Redeemed	Redeemed	0	2014	\N	88	Drama

tt1678040	movie	Bed & Breakfast: Love is a Happy Accident	Bed & Breakfast: Love is a Happy Accident	0	2010	\N	89	Comedy,Romance

tt1397492	movie	Well Done Abba!	Well Done Abba!	0	2009	\N	144	Comedy

tt5643524	movie	Hitozuma o nurasu hebi: SM shigoku-hen	Hitozuma o nurasu hebi: SM shigoku-hen	0	2005	\N	61	\N

tt0834171	movie	Taarka	Taarka	0	2008	\N	94	Biography,Comedy,Drama

tt3969980	movie	Onna no ikutoki nozokareta chitai	Onna no ikutoki nozokareta chitai	0	1999	\N	59	\N

tt2354395	movie	Surprise	Surprise	0	2019	\N	82	Comedy,Drama

tt3513054	movie	Last Days in the Desert	Last Days in the Desert	0	2015	\N	98	Adventure,Drama

tt4982156	movie	Tamayura: Graduation Photo Part 2 - Hibiki	Tamayura: Sotsugyou shasin - Dai-2-bu - Hibiki	0	2015	\N	52	Animation,Comedy,Drama

tt0119220	movie	Gravesend	Gravesend	0	1997	\N	85	Crime,Drama

tt1972600	movie	Bastardi II	Bastardi II	0	2011	\N	\N	Crime,Drama

tt3919716	movie	The Reconciler	The Reconciler	0	2015	\N	86	Thriller

tt7214842	movie	One of Us	One of Us	0	2017	\N	95	Documentary

tt1144548	movie	Mountain Mafia	Mountain Mafia	0	2012	\N	\N	Action,Adventure,Drama

tt0193741	movie	Badding	Badding	0	2000	\N	103	Biography,Comedy,Drama

tt0201934	movie	Sister Blue	Sister Blue	0	2003	\N	88	Drama,Thriller

tt9072080	movie	Shan gou 2003: Shou xing xian jing	Shan gou 2003: Shou xing xian jing	0	2003	\N	84	Horror

tt0221016	movie	Berlin	Berlin	0	1997	\N	\N	Drama

tt2390323	movie	Seishun H Piranha	Seishun H Piranha	0	2010	\N	76	Romance

tt2752200	movie	Young & Beautiful	Young and Beautiful	0	2013	\N	95	Drama,Romance

tt0400586	movie	Kyô no dekigoto	Kyô no dekigoto	0	2003	\N	110	Drama,Romance

tt2002739	movie	Nemuru migite o	Nemuru migite o	0	2003	\N	208	Drama

tt3144600	movie	Take-Away Romance	Amour sur place ou à emporter	0	2014	\N	85	Comedy

tt5900116	movie	Badam Rani Gulam Chor	Badam Rani Gulam Chor	0	2012	\N	125	Mystery

tt10612586	movie	Death Pledge	Death Pledge	0	2020	\N	\N	Drama

tt3242986	movie	The Blue Wave	Mavi Dalga	0	2013	\N	97	Drama

tt5065290	movie	Ronny & Klaid	Ronny & Klaid	0	2018	\N	112	Comedy,Crime

tt5581284	movie	All About Me	Der Junge muss an die frische Luft	0	2018	\N	100	Biography,Comedy,Drama

tt2592808	movie	Love 911	Ban-chang-ggo	0	2012	\N	120	Comedy,Drama,Romance

tt0101301	movie	All I Want for Christmas	All I Want for Christmas	0	1991	\N	92	Comedy,Family,Romance

tt2649712	movie	Thao's Library	Thao's Library	0	2015	\N	88	Documentary,Drama,Family

tt2941260	movie	Joker Rising	Joker Rising	0	2013	\N	83	Crime

tt2188843	movie	Novo Vigo Vello	Novo Vigo Vello	0	2011	\N	\N	Documentary

